HGNC ID	Approved Symbol	Approved Name	Chromosome	Ensembl Gene ID	RefSeq IDs
HGNC:20	AARS	alanyl-tRNA synthetase	16q22.1	ENSG00000090861	NM_001605
HGNC:23	ABAT	4-aminobutyrate aminotransferase	16p13.2	ENSG00000183044	NM_020686
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	16p13.3	ENSG00000167972	NM_001089
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	16p13.11	ENSG00000103222	NM_004996
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	16p13.11	ENSG00000091262	
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	16q12.1	ENSG00000121270	NM_032583
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	16q12.1	ENSG00000140798	NM_033226
HGNC:25070	ACD	ACD, shelterin complex subunit and telomerase recruitment factor	16q22.1	ENSG00000102977	NM_022914
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3	16q24.3	ENSG00000176715	NM_174917
HGNC:18049	ACSM1	acyl-CoA synthetase medium chain family member 1	16p12.3	ENSG00000166743	NM_052956
HGNC:32017	ACSM2A	acyl-CoA synthetase medium chain family member 2A	16p12.3	ENSG00000183747	NM_001010845
HGNC:30931	ACSM2B	acyl-CoA synthetase medium chain family member 2B	16p12.3	ENSG00000066813	NM_182617
HGNC:10522	ACSM3	acyl-CoA synthetase medium chain family member 3	16p12.3	ENSG00000005187	NM_005622
HGNC:26060	ACSM5	acyl-CoA synthetase medium chain family member 5	16p12.3	ENSG00000183549	NM_017888
HGNC:30714	ADAD2	adenosine deaminase domain containing 2	16q24.1	ENSG00000140955	NM_139174
HGNC:17110	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	16q23.1	ENSG00000140873	
HGNC:228	ADAT1	adenosine deaminase, tRNA specific 1	16q23.1	ENSG00000065457	NM_012091
HGNC:238	ADCY7	adenylate cyclase 7	16q12.1	ENSG00000121281	
HGNC:240	ADCY9	adenylate cyclase 9	16p13.3	ENSG00000162104	
HGNC:4512	ADGRG1	adhesion G protein-coupled receptor G1	16q21	ENSG00000205336	
HGNC:13728	ADGRG3	adhesion G protein-coupled receptor G3	16q21	ENSG00000182885	NM_170776
HGNC:19010	ADGRG5	adhesion G protein-coupled receptor G5	16q21	ENSG00000159618	NM_153837
HGNC:330	AGRP	agouti related neuropeptide	16q22.1	ENSG00000159723	
HGNC:18075	AHSP	alpha hemoglobin stabilizing protein	16p11.2	ENSG00000169877	NM_016633
HGNC:16710	AKTIP	AKT interacting protein	16q12.2	ENSG00000166971	NM_022476
HGNC:414	ALDOA	aldolase, fructose-bisphosphate A	16p11.2	ENSG00000149925	NM_000034
HGNC:18294	ALG1	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase	16p13.3	ENSG00000033011	NM_019109
HGNC:24262	AMDHD2	amidohydrolase domain containing 2	16p13.3	ENSG00000162066	NM_015944
HGNC:463	AMFR	autocrine motility factor receptor	16q13	ENSG00000159461	
HGNC:21316	ANKRD11	ankyrin repeat domain 11	16q24.3		NM_013275
HGNC:29422	ANKS3	ankyrin repeat and sterile alpha motif domain containing 3	16p13.3	ENSG00000168096	NM_133450
HGNC:26795	ANKS4B	ankyrin repeat and sterile alpha motif domain containing 4B	16p12.2	ENSG00000175311	NM_145865
HGNC:555	AP1G1	adaptor related protein complex 1 subunit gamma 1	16q22.2	ENSG00000166747	
HGNC:24087	APOBR	apolipoprotein B receptor	16p12.1	ENSG00000184730	NM_182804
HGNC:626	APRT	adenine phosphoribosyltransferase	16q24.3	ENSG00000198931	NM_000485
HGNC:642	AQP8	aquaporin 8	16p12.1	ENSG00000103375	NM_001169
HGNC:18239	ARHGAP17	Rho GTPase activating protein 17	16p12.1	ENSG00000140750	NM_018054
HGNC:680	ARHGDIG	Rho GDP dissociation inhibitor gamma	16p13.3	ENSG00000242173	
HGNC:17146	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein	16q13	ENSG00000102931	NM_012106
HGNC:697	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1	16p12.3	ENSG00000170540	NM_015161
HGNC:25781	ARMC5	armadillo repeat containing 5	16p11.2	ENSG00000140691	NM_024742
HGNC:27380	ASPHD1	aspartate beta-hydroxylase domain containing 1	16p11.2	ENSG00000174939	NM_181718
HGNC:20397	ATF7IP2	activating transcription factor 7 interacting protein 2	16p13.2-p13.13	ENSG00000166669	NM_024997
HGNC:29034	ATMIN	ATM interactor	16q23.2	ENSG00000166454	NM_015251
HGNC:811	ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	16p11.2	ENSG00000196296	NM_004320
HGNC:29103	ATP2C2	ATPase secretory pathway Ca2+ transporting 2	16q24.1	ENSG00000064270	NM_014861
HGNC:855	ATP6V0C	ATPase H+ transporting V0 subunit c	16p13.3	ENSG00000185883	NM_001694
HGNC:13724	ATP6V0D1	ATPase H+ transporting V0 subunit d1	16q22.1	ENSG00000159720	NM_004691
HGNC:33279	ATXN1L	ataxin 1 like	16q22.2	ENSG00000224470	NM_001137675.2
HGNC:31326	ATXN2L	ataxin 2 like	16p11.2	ENSG00000168488	NM_007245
HGNC:903	AXIN1	axin 1	16p13.3	ENSG00000103126	
HGNC:28714	B3GNT9	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9	16q22.1	ENSG00000237172	NM_033309
HGNC:948	BAIAP3	BAI1 associated protein 3	16p13.3	ENSG00000007516	
HGNC:13450	BANP	BTG3 associated nuclear protein	16q24.2	ENSG00000172530	NM_017869
HGNC:967	BBS2	Bardet-Biedl syndrome 2	16q13	ENSG00000125124	NM_031885
HGNC:971	BCAR1	BCAR1, Cas family scaffold protein	16q23.1	ENSG00000050820	NM_014567
HGNC:16902	BCKDK	branched chain ketoacid dehydrogenase kinase	16p11.2	ENSG00000103507	NM_005881
HGNC:1006	BCL7C	BCL tumor suppressor 7C	16p11.2	ENSG00000099385	NM_004765
HGNC:13815	BCO1	beta-carotene oxygenase 1	16q23.2	ENSG00000135697	NM_017429
HGNC:24160	BEAN1	brain expressed associated with NEDD4 1	16q21	ENSG00000166546	NM_001136106
HGNC:17613	BFAR	bifunctional apoptosis regulator	16p13.12	ENSG00000103429	NM_016561
HGNC:33584	BICDL2	BICD family like cargo adaptor 2	16p13.3	ENSG00000162069	
HGNC:29488	BOLA2	bolA family member 2	16p11.2	ENSG00000183336	NM_001031827
HGNC:32479	BOLA2B	bolA family member 2B	16p11.2	ENSG00000169627	NM_001039182
HGNC:14310	BRD7	bromodomain containing 7	16q12.1	ENSG00000166164	NM_013263
HGNC:28309	BRICD5	BRICHOS domain containing 5	16p13.3	ENSG00000182685	NM_182563
HGNC:31374	C1QTNF8	C1q and TNF related 8	16p13.3	ENSG00000184471	NM_207419
HGNC:19213	C16orf45	chromosome 16 open reading frame 45	16p13.11	ENSG00000166780	NM_033201
HGNC:26525	C16orf46	chromosome 16 open reading frame 46	16q23.2	ENSG00000166455	NM_152337
HGNC:26649	C16orf54	chromosome 16 open reading frame 54	16p11.2	ENSG00000185905	NM_175900
HGNC:25848	C16orf58	chromosome 16 open reading frame 58	16p11.2	ENSG00000140688	NM_022744
HGNC:29564	C16orf70	chromosome 16 open reading frame 70	16q22.1	ENSG00000125149	NM_025187
HGNC:25081	C16orf71	chromosome 16 open reading frame 71	16p13.3	ENSG00000166246	NM_139170
HGNC:30103	C16orf72	chromosome 16 open reading frame 72	16p13.2	ENSG00000182831	NM_014117
HGNC:23362	C16orf74	chromosome 16 open reading frame 74	16q24.1	ENSG00000154102	NM_206967
HGNC:28479	C16orf78	chromosome 16 open reading frame 78	16q12.1	ENSG00000166152	NM_144602
HGNC:30755	C16orf82	chromosome 16 open reading frame 82	16p12.1	ENSG00000234186	NM_001145545
HGNC:33755	C16orf86	chromosome 16 open reading frame 86	16q22.1	ENSG00000159761	NM_001012984
HGNC:33754	C16orf87	chromosome 16 open reading frame 87	16q11.2	ENSG00000155330	NM_001001436
HGNC:28687	C16orf89	chromosome 16 open reading frame 89	16p13.3	ENSG00000153446	NM_152459
HGNC:34455	C16orf90	chromosome 16 open reading frame 90	16p13.3	ENSG00000215131	NM_001080524
HGNC:27558	C16orf91	chromosome 16 open reading frame 91	16p13.3	ENSG00000174109	NM_001010878
HGNC:26346	C16orf92	chromosome 16 open reading frame 92	16p11.2	ENSG00000167194	NM_001109659
HGNC:40033	C16orf95	chromosome 16 open reading frame 95	16q24.2	ENSG00000260456	NM_001195124
HGNC:40031	C16orf96	chromosome 16 open reading frame 96	16p13.3	ENSG00000205832	NM_001145011
HGNC:1377	CA5A	carbonic anhydrase 5A	16q24.2	ENSG00000174990	NM_001739
HGNC:1381	CA7	carbonic anhydrase 7	16q22.1	ENSG00000168748	
HGNC:1395	CACNA1H	calcium voltage-gated channel subunit alpha1 H	16p13.3		NM_001005407
HGNC:1407	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3	16p12.1	ENSG00000006116	NM_006539
HGNC:1435	CALB2	calbindin 2	16q22.2	ENSG00000172137	NM_001740
HGNC:11182	CAPN15	calpain 15	16p13.3	ENSG00000103326	NM_005632
HGNC:16371	CAPNS2	calpain small subunit 2	16q12.2		NM_032330
HGNC:17150	CARHSP1	calcium regulated heat stable protein 1	16p13.2	ENSG00000153048	NM_014316
HGNC:27089	CARMIL2	capping protein regulator and myosin 1 linker 2	16q22.1	ENSG00000159753	NM_001013838
